1892,Wimbledon,540,wimbledon,London Great Britain,1892.06.27,32,Outdoor,Grass,/en/scores/archive/wimbledon/540/1892/results,Wilfred Baddeley,/en/players/wilfred-baddeley/bs64/overview,wilfred-baddeley,bs64,1892-540
1892,US Championships,560,us-open,Newport United States,1892.08.23,65,Outdoor,Grass,/en/scores/archive/us-open/560/1892/results,Frederick Hovey,/en/players/frederick-hovey/hg25/overview,frederick-hovey,hg25,1892-560
1893,Wimbledon,540,wimbledon,London Great Britain,1893.07.10,32,Outdoor,Grass,/en/scores/archive/wimbledon/540/1893/results,Joshua Pim,/en/players/joshua-pim/pl13/overview,joshua-pim,pl13,1893-540
1893,US Championships,560,us-open,Newport United States,1893.08.22,65,Outdoor,Grass,/en/scores/archive/us-open/560/1893/results,Robert Wrenn,/en/players/robert-wrenn/wa41/overview,robert-wrenn,wa41,1893-560
1894,Wimbledon,540,wimbledon,London Great Britain,1894.07.09,32,Outdoor,Grass,/en/scores/archive/wimbledon/540/1894/results,Joshua Pim,/en/players/joshua-pim/pl13/overview,joshua-pim,pl13,1894-540
1894,US Championships,560,us-open,Newport United States,1894.08.20,33,Outdoor,Grass,/en/scores/archive/us-open/560/1894/results,Manliffe Goodbody,/en/players/manliffe-goodbody/gi79/overview,manliffe-goodbody,gi79,1894-560
1895,Wimbledon,540,wimbledon,London Great Britain,1895.07.08,32,Outdoor,Grass,/en/scores/archive/wimbledon/540/1895/results,Wilfred Baddeley,/en/players/wilfred-baddeley/bs64/overview,wilfred-baddeley,bs64,1895-540
1895,US Championships,560,us-open,Newport United States,1895.08.20,65,Outdoor,Grass,/en/scores/archive/us-open/560/1895/results,Frederick Hovey,/en/players/frederick-hovey/hg25/overview,frederick-hovey,hg25,1895-560
1896,Wimbledon,540,wimbledon,London Great Britain,1896.07.13,33,Outdoor,Grass,/en/scores/archive/wimbledon/540/1896/results,Harold Mahony,/en/players/harold-mahony/mu14/overview,harold-mahony,mu14,1896-540
1896,US Championships,560,us-open,Newport United States,1896.08.17,33,Outdoor,Grass,/en/scores/archive/us-open/560/1896/results,Robert Wrenn,/en/players/robert-wrenn/wa41/overview,robert-wrenn,wa41,1896-560
1897,Wimbledon,540,wimbledon,London Great Britain,1897.06.21,33,Outdoor,Grass,/en/scores/archive/wimbledon/540/1897/results,Reggie Doherty,/en/players/reggie-doherty/dg13/overview,reggie-doherty,dg13,1897-540
1897,US Championships,560,us-open,Newport United States,1897.08.18,33,Outdoor,Grass,/en/scores/archive/us-open/560/1897/results,Wilberforce Eaves,/en/players/wilberforce-eaves/e973/overview,wilberforce-eaves,e973,1897-560
1898,Wimbledon,540,wimbledon,London Great Britain,1898.06.20,64,Outdoor,Grass,/en/scores/archive/wimbledon/540/1898/results,Reggie Doherty,/en/players/reggie-doherty/dg13/overview,reggie-doherty,dg13,1898-540
1898,US Championships,560,us-open,Newport United States,1898.08.15,33,Outdoor,Grass,/en/scores/archive/us-open/560/1898/results,Malcolm Whitman,/en/players/malcolm-whitman/w955/overview,malcolm-whitman,w955,1898-560
1899,Wimbledon,540,wimbledon,London Great Britain,1899.06.19,64,Outdoor,Grass,/en/scores/archive/wimbledon/540/1899/results,Reggie Doherty,/en/players/reggie-doherty/dg13/overview,reggie-doherty,dg13,1899-540
1899,US Championships,560,us-open,Newport United States,1899.08.15,33,Outdoor,Grass,/en/scores/archive/us-open/560/1899/results,J. Parmly Paret,/en/players/j-parmly-paret/pl06/overview,j-parmly-paret,pl06,1899-560
1900,Wimbledon,540,wimbledon,London Great Britain,1900.06.25,33,Outdoor,Grass,/en/scores/archive/wimbledon/540/1900/results,Reggie Doherty,/en/players/reggie-doherty/dg13/overview,reggie-doherty,dg13,1900-540
1900,US Championships,560,us-open,Newport United States,1900.08.14,33,Outdoor,Grass,/en/scores/archive/us-open/560/1900/results,William Larned,/en/players/william-larned/lg45/overview,william-larned,lg45,1900-560
1901,Wimbledon,540,wimbledon,London Great Britain,1901.06.24,64,Outdoor,Grass,/en/scores/archive/wimbledon/540/1901/results,Arthur Gore,/en/players/arthur-gore/gh85/overview,arthur-gore,gh85,1901-540
1901,US Championships,560,us-open,Newport United States,1901.08.13,33,Outdoor,Grass,/en/scores/archive/us-open/560/1901/results,William Larned,/en/players/william-larned/lg45/overview,william-larned,lg45,1901-560
1902,Wimbledon,540,wimbledon,London Great Britain,1902.06.23,64,Outdoor,Grass,/en/scores/archive/wimbledon/540/1902/results,Laurence Doherty,/en/players/laurence-doherty/dg02/overview,laurence-doherty,dg02,1902-540
1902,US Championships,560,us-open,Newport United States,1902.08.18,128,Outdoor,Grass,/en/scores/archive/us-open/560/1902/results,Reggie Doherty,/en/players/reggie-doherty/dg13/overview,reggie-doherty,dg13,1902-560
1903,Wimbledon,540,wimbledon,London Great Britain,1903.06.23,64,Outdoor,Grass,/en/scores/archive/wimbledon/540/1903/results,Laurence Doherty,/en/players/laurence-doherty/dg02/overview,laurence-doherty,dg02,1903-540
1903,US Championships,560,us-open,Newport United States,1903.08.16,128,Outdoor,Grass,/en/scores/archive/us-open/560/1903/results,Laurence Doherty,/en/players/laurence-doherty/dg02/overview,laurence-doherty,dg02,1903-560
1904,Wimbledon,540,wimbledon,London Great Britain,1904.06.20,64,Outdoor,Grass,/en/scores/archive/wimbledon/540/1904/results,Laurence Doherty,/en/players/laurence-doherty/dg02/overview,laurence-doherty,dg02,1904-540
1904,US Championships,560,us-open,Newport United States,1904.08.16,128,Outdoor,Grass,/en/scores/archive/us-open/560/1904/results,Holcombe Ward,/en/players/holcombe-ward/w954/overview,holcombe-ward,w954,1904-560
1905,Wimbledon,540,wimbledon,London Great Britain,1905.06.26,128,Outdoor,Grass,/en/scores/archive/wimbledon/540/1905/results,Laurence Doherty,/en/players/laurence-doherty/dg02/overview,laurence-doherty,dg02,1905-540
1905,US Championships,560,us-open,Newport United States,1905.08.22,128,Outdoor,Grass,/en/scores/archive/us-open/560/1905/results,Beals Wright,/en/players/beals-wright/w950/overview,beals-wright,w950,1905-560
1905,Australasian Championships,580,australian-open,Melbourne Australia,1905.11.21,32,Outdoor,Grass,/en/scores/archive/australian-open/580/1905/results,Rodney Heath,/en/players/rodney-heath/he57/overview,rodney-heath,he57,1905-580
1906,Wimbledon,540,wimbledon,London Great Britain,1906.06.25,128,Outdoor,Grass,/en/scores/archive/wimbledon/540/1906/results,Laurence Doherty,/en/players/laurence-doherty/dg02/overview,laurence-doherty,dg02,1906-540
1906,US Championships,560,us-open,Newport United States,1906.08.20,128,Outdoor,Grass,/en/scores/archive/us-open/560/1906/results,William Clothier,/en/players/william-clothier/ck86/overview,william-clothier,ck86,1906-560
1906,Australasian Championships,580,australian-open,Christchurch New Zealand,1906.12.26,16,Outdoor,Grass,/en/scores/archive/australian-open/580/1906/results,Tony Wilding,/en/players/tony-wilding/w972/overview,tony-wilding,w972,1906-580
1907,Wimbledon,540,wimbledon,London Great Britain,1907.06.24,128,Outdoor,Grass,/en/scores/archive/wimbledon/540/1907/results,Norman Brookes,/en/players/norman-brookes/bq52/overview,norman-brookes,bq52,1907-540
1907,Australasian Championships,580,australian-open,Brisbane Australia,1907.08.18,32,Outdoor,Grass,/en/scores/archive/australian-open/580/1907/results,Horace Rice,/en/players/horace-rice/rf87/overview,horace-rice,rf87,1907-580
1907,US Championships,560,us-open,Newport United States,1907.08.20,128,Outdoor,Grass,/en/scores/archive/us-open/560/1907/results,William Larned,/en/players/william-larned/lg45/overview,william-larned,lg45,1907-560
1908,Wimbledon,540,wimbledon,London Great Britain,1908.06.22,128,Outdoor,Grass,/en/scores/archive/wimbledon/540/1908/results,Arthur Gore,/en/players/arthur-gore/gh85/overview,arthur-gore,gh85,1908-540
1908,US Championships,560,us-open,Newport United States,1908.08.18,256,Outdoor,Grass,/en/scores/archive/us-open/560/1908/results,Beals Wright,/en/players/beals-wright/w950/overview,beals-wright,w950,1908-560
1908,Australasian Championships,580,australian-open,Sydney Australia,1908.12.07,16,Outdoor,Grass,/en/scores/archive/australian-open/580/1908/results,Fred Alexander,/en/players/fred-alexander/af02/overview,fred-alexander,af02,1908-580
1909,Wimbledon,540,wimbledon,London Great Britain,1909.06.21,128,Outdoor,Grass,/en/scores/archive/wimbledon/540/1909/results,Arthur Gore,/en/players/arthur-gore/gh85/overview,arthur-gore,gh85,1909-540
1909,US Championships,560,us-open,Newport United States,1909.08.17,256,Outdoor,Grass,/en/scores/archive/us-open/560/1909/results,William Clothier,/en/players/william-clothier/ck86/overview,william-clothier,ck86,1909-560
