1991-7308,Finals,1,1,Nicklas Kulti,k181,nicklas-kulti,Michael Stich,s351,michael-stich,63 16 62,2,1,13,11,0,0,1991-7308-k181-s351
1991-7308,Semi-Finals,2,1,Michael Stich,s351,michael-stich,Jim Courier,c243,jim-courier,64 76(6),2,0,13,10,1,0,1991-7308-s351-c243
1991-7308,Semi-Finals,2,2,Nicklas Kulti,k181,nicklas-kulti,Magnus Larsson,l206,magnus-larsson,75 64,2,0,13,9,0,0,1991-7308-k181-l206
1991-7308,Quarter-Finals,3,1,Jim Courier,c243,jim-courier,Martin Sinner,s367,martin-sinner,76(3) 63,2,0,13,9,1,0,1991-7308-c243-s367
1991-7308,Quarter-Finals,3,2,Michael Stich,s351,michael-stich,Jimmy Arias,a031,jimmy-arias,36 63 63,2,1,15,12,0,0,1991-7308-s351-a031
1991-7308,Quarter-Finals,3,3,Nicklas Kulti,k181,nicklas-kulti,Fabrice Santoro,s424,fabrice-santoro,63 60,2,0,12,3,0,0,1991-7308-k181-s424
1991-7308,Quarter-Finals,3,4,Magnus Larsson,l206,magnus-larsson,Patrik Kuhnen,k030,patrik-kuhnen,76(6) 36 63,2,1,16,15,1,0,1991-7308-l206-k030
1991-7308,Round of 16,4,1,Jim Courier,c243,jim-courier,Paul Haarhuis,h223,paul-haarhuis,64 64,2,0,12,8,0,0,1991-7308-c243-h223
1991-7308,Round of 16,4,2,Nicklas Kulti,k181,nicklas-kulti,Magnus Gustafsson,g182,magnus-gustafsson,46 61 61,2,1,16,8,0,0,1991-7308-k181-g182
1991-7308,Round of 16,4,3,Michael Stich,s351,michael-stich,Gilad Bloom,b051,gilad-bloom,75 61,2,0,13,6,0,0,1991-7308-s351-b051
1991-7308,Round of 16,4,4,Patrik Kuhnen,k030,patrik-kuhnen,Todd Woodbridge,w136,todd-woodbridge,75 62,2,0,13,7,0,0,1991-7308-k030-w136
1991-7308,Round of 16,4,5,Jimmy Arias,a031,jimmy-arias,Jason Stoltenberg,s331,jason-stoltenberg,62 64,2,0,12,6,0,0,1991-7308-a031-s331
1991-7308,Round of 16,4,6,Magnus Larsson,l206,magnus-larsson,Slobodan Zivojinovic,z006,slobodan-zivojinovic,76(5) 76(8),2,0,14,12,2,0,1991-7308-l206-z006
1991-7308,Round of 16,4,7,Fabrice Santoro,s424,fabrice-santoro,Udo Riglewski,r023,udo-riglewski,76(4) 75,2,0,14,11,1,0,1991-7308-s424-r023
1991-7308,Round of 16,4,8,Martin Sinner,s367,martin-sinner,Mark Woodforde,w035,mark-woodforde,46 63 64,2,1,16,13,0,0,1991-7308-s367-w035
1991-7308,Round of 32,5,1,Magnus Larsson,l206,magnus-larsson,Boris Becker,b028,boris-becker,64 36 76(2),2,1,16,16,1,0,1991-7308-l206-b028
1991-7308,Round of 32,5,2,Jim Courier,c243,jim-courier,Alexander Mronz,m093,alexander-mronz,36 62 61,2,1,15,9,0,0,1991-7308-c243-m093
1991-7308,Round of 32,5,3,Jimmy Arias,a031,jimmy-arias,Horst Skoff,s055,horst-skoff,76(4) 30 (RET),2,0,10,6,1,0,1991-7308-a031-s055
1991-7308,Round of 32,5,4,Udo Riglewski,r023,udo-riglewski,Sergi Bruguera,b350,sergi-bruguera,75 63,2,0,13,8,0,0,1991-7308-r023-b350
