2013-339-mc10-n552,0:45:00,45,4,1,21,30,17,21,5,9,1,2,22,30,8,18,9,16,3,5,6,6,17,34,39,64,1,0,18,34,10,18,7,16,2,5,17,34,4,21,4,9,1,2,6,6,8,30,25,64
2013-339-d875-b837,2:29:00,149,12,3,72,113,57,72,21,41,7,9,78,113,16,69,23,44,2,8,17,16,39,113,117,226,4,3,69,113,53,69,21,44,6,8,74,113,15,72,20,41,2,9,16,17,35,113,109,226
2013-339-mc10-d875,1:31:00,91,7,4,53,73,38,53,11,20,3,5,49,73,14,38,10,24,3,4,11,11,24,62,73,135,3,2,38,62,24,38,14,24,1,4,38,62,15,53,9,20,2,5,11,11,24,73,62,135
2013-339-mc10-i165,1:37:00,97,4,2,46,71,38,46,16,25,2,2,54,71,12,39,12,31,1,1,11,11,24,70,78,141,7,1,39,70,27,39,19,31,0,1,46,70,8,46,9,25,0,2,11,11,17,71,63,141
2013-339-b837-sd32,1:22:00,82,6,2,32,62,25,32,16,30,4,5,41,62,13,32,9,20,3,6,10,9,22,52,63,114,3,2,32,52,19,32,11,20,3,6,30,52,7,32,14,30,1,5,9,10,21,62,51,114
2013-339-n552-d801,1:27:00,87,5,0,39,63,31,39,16,24,2,3,47,63,14,43,11,29,2,4,11,11,25,72,72,135,4,0,43,72,29,43,18,29,2,4,47,72,8,39,8,24,1,3,11,11,16,63,63,135
2013-339-d875-m762,0:59:00,59,17,1,39,62,33,39,11,23,4,4,44,62,15,32,4,8,3,3,9,8,19,40,63,102,5,2,32,40,17,32,4,8,0,3,21,40,6,39,12,23,0,4,8,9,18,62,39,102
2013-339-mc10-mh30,2:06:00,126,7,3,70,98,49,70,13,28,8,10,62,98,14,47,20,35,5,11,14,14,34,82,96,180,2,5,47,82,33,47,15,35,6,11,48,82,21,70,15,28,2,10,14,14,36,98,84,180
2013-339-d875-r975,1:01:00,61,10,4,26,52,26,26,15,26,2,2,41,52,3,24,8,19,2,3,10,9,11,43,52,95,4,2,24,43,21,24,11,19,1,3,32,43,0,26,11,26,0,2,9,10,11,52,43,95
2013-339-sd32-f444,2:12:00,132,5,1,43,89,28,43,28,46,6,9,56,89,16,43,13,33,3,4,12,12,29,76,85,165,6,2,43,76,27,43,20,33,1,4,47,76,15,43,18,46,3,9,12,12,33,89,80,165
2013-339-d801-n289,0:54:00,54,6,0,22,36,17,22,10,14,0,0,27,36,16,28,8,15,4,9,6,7,24,43,51,79,0,1,28,43,12,28,7,15,5,9,19,43,5,22,4,14,0,0,7,6,9,36,28,79
2013-339-n552-r419,1:26:00,86,1,1,34,53,25,34,13,19,0,0,38,53,9,29,17,31,3,11,9,9,26,60,64,113,4,2,29,60,20,29,14,31,8,11,34,60,9,34,6,19,0,0,9,9,15,53,49,113
2013-339-b837-mb02,1:11:00,71,15,2,35,55,29,35,9,20,4,5,38,55,16,40,14,25,4,10,9,9,30,65,68,120,1,0,40,65,24,40,11,25,6,10,35,65,6,35,11,20,1,5,9,9,17,55,52,120
2013-339-i165-h432,1:45:00,105,11,2,51,73,42,51,9,22,4,5,51,73,18,48,17,36,3,12,12,12,35,84,86,157,3,1,48,84,30,48,19,36,9,12,49,84,9,51,13,22,1,5,12,12,22,73,71,157
2013-339-m762-gb88,1:28:00,88,7,2,50,76,37,50,16,26,2,2,53,76,12,45,11,26,1,4,11,11,23,71,76,147,6,4,45,71,33,45,15,26,3,4,48,71,13,50,10,26,0,2,11,11,23,76,71,147
2013-339-n552-me05,1:42:00,102,2,0,45,72,29,45,17,27,4,5,46,72,12,37,20,33,4,7,10,10,32,70,78,142,3,1,37,70,25,37,13,33,3,7,38,70,16,45,10,27,1,5,10,10,26,72,64,142
2013-339-mb02-g725,1:05:00,65,6,1,33,50,27,33,14,17,0,0,41,50,10,40,7,14,2,2,10,10,17,54,58,104,3,0,40,54,30,40,7,14,0,2,37,54,6,33,3,17,0,0,10,10,9,50,46,104
2013-339-i165-k966,1:10:00,70,6,2,33,53,28,33,8,20,2,2,36,53,12,31,17,26,4,13,8,7,29,57,65,110,3,3,31,57,19,31,9,26,9,13,28,57,5,33,12,20,0,2,7,8,17,53,45,110
2013-339-m762-kb09,1:47:00,107,5,1,55,78,40,55,12,23,3,6,52,78,11,48,23,43,3,7,14,14,34,91,86,169,3,3,48,91,37,48,20,43,4,7,57,91,15,55,11,23,3,6,14,14,26,78,83,169
2013-339-b837-mk40,1:17:00,77,5,1,35,60,30,35,14,25,4,4,44,60,7,35,12,22,2,2,10,10,19,57,63,117,5,1,35,57,28,35,10,22,0,2,38,57,5,35,11,25,0,4,10,10,16,60,54,117
