1998-7308,Finals,1,1,Lleyton Hewitt,h432,lleyton-hewitt,Jason Stoltenberg,s331,jason-stoltenberg,36 63 76(4),2,1,16,15,1,0,1998-7308-h432-s331
1998-7308,Semi-Finals,2,1,Jason Stoltenberg,s331,jason-stoltenberg,Todd Woodbridge,w136,todd-woodbridge,64 61,2,0,12,5,0,0,1998-7308-s331-w136
1998-7308,Semi-Finals,2,2,Lleyton Hewitt,h432,lleyton-hewitt,Andre Agassi,a092,andre-agassi,76(5) 76(4),2,0,14,12,2,0,1998-7308-h432-a092
1998-7308,Quarter-Finals,3,1,Todd Woodbridge,w136,todd-woodbridge,Jerome Golmard,g319,jerome-golmard,26 64 64,2,1,14,14,0,0,1998-7308-w136-g319
1998-7308,Quarter-Finals,3,2,Andre Agassi,a092,andre-agassi,Brett Steven,s321,brett-steven,16 61 61,2,1,13,8,0,0,1998-7308-a092-s321
1998-7308,Quarter-Finals,3,3,Lleyton Hewitt,h432,lleyton-hewitt,Vincent Spadea,s544,vincent-spadea,75 36 61,2,1,16,12,0,0,1998-7308-h432-s544
1998-7308,Quarter-Finals,3,4,Jason Stoltenberg,s331,jason-stoltenberg,Nicolas Escude,e140,nicolas-escude,67(3) 61 75,2,1,19,13,0,1,1998-7308-s331-e140
1998-7308,Round of 16,4,1,Jason Stoltenberg,s331,jason-stoltenberg,Jonas Bjorkman,b446,jonas-bjorkman,75 61,2,0,13,6,0,0,1998-7308-s331-b446
1998-7308,Round of 16,4,2,Brett Steven,s321,brett-steven,Gustavo Kuerten,k293,gustavo-kuerten,63 63,2,0,12,6,0,0,1998-7308-s321-k293
1998-7308,Round of 16,4,3,Jerome Golmard,g319,jerome-golmard,Magnus Norman,n250,magnus-norman,16 62 01 (RET),1,2,7,9,0,0,1998-7308-g319-n250
1998-7308,Round of 16,4,4,Todd Woodbridge,w136,todd-woodbridge,Jens Knippschild,k260,jens-knippschild,67(8) 62 64,2,1,18,13,0,1,1998-7308-w136-k260
1998-7308,Round of 16,4,5,Nicolas Escude,e140,nicolas-escude,Thomas Johansson,j129,thomas-johansson,46 64 64,2,1,16,14,0,0,1998-7308-e140-j129
1998-7308,Round of 16,4,6,Andre Agassi,a092,andre-agassi,Jan Siemerink,s381,jan-siemerink,64 63,2,0,12,7,0,0,1998-7308-a092-s381
1998-7308,Round of 16,4,7,Lleyton Hewitt,h432,lleyton-hewitt,Mark Woodforde,w035,mark-woodforde,46 76(1) 61,2,1,17,13,1,0,1998-7308-h432-w035
1998-7308,Round of 16,4,8,Vincent Spadea,s544,vincent-spadea,Slava Dosedel,d198,slava-dosedel,61 62,2,0,12,3,0,0,1998-7308-s544-d198
1998-7308,Round of 32,5,1,Jonas Bjorkman,b446,jonas-bjorkman,Grant Stafford,s406,grant-stafford,64 62,2,0,12,6,0,0,1998-7308-b446-s406
1998-7308,Round of 32,5,2,Gustavo Kuerten,k293,gustavo-kuerten,Kenneth Carlsen,c328,kenneth-carlsen,76(5) 75,2,0,14,11,1,0,1998-7308-k293-c328
1998-7308,Round of 32,5,3,Mark Woodforde,w035,mark-woodforde,Jim Courier,c243,jim-courier,75 62,2,0,13,7,0,0,1998-7308-w035-c243
1998-7308,Round of 32,5,4,Magnus Norman,n250,magnus-norman,Christian Ruud,r219,christian-ruud,63 16 64,2,1,13,13,0,0,1998-7308-n250-r219
1998-7308,Round of 32,5,5,Todd Woodbridge,w136,todd-woodbridge,Martin Damm,d214,martin-damm,75 46 63,2,1,17,14,0,0,1998-7308-w136-d214
1998-7308,Round of 32,5,6,Vincent Spadea,s544,vincent-spadea,Nicolas Kiefer,k316,nicolas-kiefer,63 46 64,2,1,16,13,0,0,1998-7308-s544-k316
1998-7308,Round of 32,5,7,Thomas Johansson,j129,thomas-johansson,Byron Black,b397,byron-black,75 63,2,0,13,8,0,0,1998-7308-j129-b397
1998-7308,Round of 32,5,8,Jan Siemerink,s381,jan-siemerink,Dominik Hrbaty,h377,dominik-hrbaty,63 67(5) 63,2,1,18,13,0,1,1998-7308-s381-h377
1998-7308,Round of 32,5,9,Andre Agassi,a092,andre-agassi,Sargis Sargsian,s545,sargis-sargsian,46 63 63,2,1,16,12,0,0,1998-7308-a092-s545
1998-7308,Round of 32,5,10,Slava Dosedel,d198,slava-dosedel,Andrea Gaudenzi,g254,andrea-gaudenzi,46 62 61,2,1,16,9,0,0,1998-7308-d198-g254
1998-7308,Round of 32,5,11,Nicolas Escude,e140,nicolas-escude,Alex Radulescu,r284,alex-radulescu,60 75,2,0,13,5,0,0,1998-7308-e140-r284
1998-7308,Round of 32,5,12,Jerome Golmard,g319,jerome-golmard,Dirk Dier,d207,dirk-dier,63 64,2,0,12,7,0,0,1998-7308-g319-d207
1998-7308,Round of 32,5,13,Lleyton Hewitt,h432,lleyton-hewitt,Scott Draper,d270,scott-draper,64 64,2,0,12,8,0,0,1998-7308-h432-d270
1998-7308,Round of 32,5,14,Jens Knippschild,k260,jens-knippschild,Richard Fromberg,f164,richard-fromberg,36 63 75,2,1,16,14,0,0,1998-7308-k260-f164
1998-7308,Round of 32,5,15,Brett Steven,s321,brett-steven,Lionel Roux,r280,lionel-roux,63 63,2,0,12,6,0,0,1998-7308-s321-r280
1998-7308,Round of 32,5,16,Jason Stoltenberg,s331,jason-stoltenberg,Juan Antonio Marin,m578,juan-antonio-marin,64 61,2,0,12,5,0,0,1998-7308-s331-m578
1998-451,Finals,1,1,Petr Korda,k148,petr-korda,Fabrice Santoro,s424,fabrice-santoro,60 63,2,0,12,3,0,0,1998-451-k148-s424
1998-451,Semi-Finals,2,1,Petr Korda,k148,petr-korda,Andrei Medvedev,m475,andrei-medvedev,63 64,2,0,12,7,0,0,1998-451-k148-m475
1998-451,Semi-Finals,2,2,Fabrice Santoro,s424,fabrice-santoro,Goran Ivanisevic,i034,goran-ivanisevic,61 64,2,0,12,5,0,0,1998-451-s424-i034
1998-451,Quarter-Finals,3,1,Fabrice Santoro,s424,fabrice-santoro,Greg Rusedski,r237,greg-rusedski,62 36 63,2,1,15,11,0,0,1998-451-s424-r237
1998-451,Quarter-Finals,3,2,Petr Korda,k148,petr-korda,Tim Henman,h336,tim-henman,75 46 64,2,1,17,15,0,0,1998-451-k148-h336
1998-451,Quarter-Finals,3,3,Goran Ivanisevic,i034,goran-ivanisevic,Bernd Karbacher,k190,bernd-karbacher,76(5) 67(5) 63,2,1,19,16,1,1,1998-451-i034-k190
1998-451,Quarter-Finals,3,4,Andrei Medvedev,m475,andrei-medvedev,Sjeng Schalken,s572,sjeng-schalken,46 64 64,2,1,16,14,0,0,1998-451-m475-s572
1998-451,Round of 16,4,1,Greg Rusedski,r237,greg-rusedski,Karim Alami,a203,karim-alami,62 75,2,0,13,7,0,0,1998-451-r237-a203
1998-451,Round of 16,4,2,Petr Korda,k148,petr-korda,Lars Burgsmuller,b484,lars-burgsmuller,63 62,2,0,12,5,0,0,1998-451-k148-b484
1998-451,Round of 16,4,3,Goran Ivanisevic,i034,goran-ivanisevic,Marc Rosset,r214,marc-rosset,67(4) 75 75,2,1,20,17,0,1,1998-451-i034-r214
1998-451,Round of 16,4,4,Tim Henman,h336,tim-henman,Guillaume Raoux,r186,guillaume-raoux,75 64,2,0,13,9,0,0,1998-451-h336-r186
1998-451,Round of 16,4,5,Bernd Karbacher,k190,bernd-karbacher,Magnus Larsson,l206,magnus-larsson,(W/O),0,0,0,0,0,0,1998-451-k190-l206
