2017-339,Round of 32,5,7,Sam Groth,g940,sam-groth,Pierre-Hugues Herbert,h996,pierre-hugues-herbert,WC,,63 57 75,2,1,18,15,0,0,2017-339-g940-h996,/en/scores/2017/339/MS021/match-stats?isLive=False
2017-339,Round of 32,5,8,Nicolas Mahut,m873,nicolas-mahut,Stephane Robert,r612,stephane-robert,,,46 63 64,2,1,16,13,0,0,2017-339-m873-r612,/en/scores/2017/339/MS022/match-stats?isLive=False
2017-339,Round of 32,5,9,Diego Schwartzman,sm37,diego-schwartzman,Sam Querrey,q927,sam-querrey,,,62 64,2,0,12,6,0,0,2017-339-sm37-q927,/en/scores/2017/339/MS017/match-stats?isLive=False
2017-339,Round of 32,5,10,Jordan Thompson,tc61,jordan-thompson,Elias Ymer,y218,elias-ymer,WC,WC,63 62,2,0,12,5,0,0,2017-339-tc61-y218,/en/scores/2017/339/MS025/match-stats?isLive=False
2017-339,Round of 32,5,11,Viktor Troicki,t840,viktor-troicki,Yoshihito Nishioka,n732,yoshihito-nishioka,,Q,64 75,2,0,13,9,0,0,2017-339-t840-n732,/en/scores/2017/339/MS030/match-stats?isLive=False
2017-339,Round of 32,5,12,Mischa Zverev,z168,mischa-zverev,Alex de Minaur,dh58,alex-de-minaur,,Q,63 63,2,0,12,6,0,0,2017-339-z168-dh58,/en/scores/2017/339/MS018/match-stats?isLive=False
2017-339,2nd Round Qualifying,6,1,Yoshihito Nishioka,n732,yoshihito-nishioka,Tim Smyczek,sf62,tim-smyczek,3,,75 64,2,0,13,9,0,0,2017-339-n732-sf62,/en/scores/2017/339/QS006/match-stats?isLive=False
2017-339,2nd Round Qualifying,6,2,Jared Donaldson,dc58,jared-donaldson,John-Patrick Smith,sj55,john-patrick-smith,4,WC,62 46 76(2),2,1,17,14,1,0,2017-339-dc58-sj55,/en/scores/2017/339/QS007/match-stats?isLive=False
2017-339,2nd Round Qualifying,6,3,Alex de Minaur,dh58,alex-de-minaur,Frances Tiafoe,td51,frances-tiafoe,WC,5,67(4) 64 64,2,1,18,15,0,1,2017-339-dh58-td51,/en/scores/2017/339/QS004/match-stats?isLive=False
2017-339,2nd Round Qualifying,6,4,Ernesto Escobedo,e873,ernesto-escobedo,Ivan Dodig,d646,ivan-dodig,,,63 67(3) 63,2,1,18,13,0,1,2017-339-e873-d646,/en/scores/2017/339/QS005/match-stats?isLive=False
2017-339,1st Round Qualifying,7,1,Alex de Minaur,dh58,alex-de-minaur,Mikhail Kukushkin,k926,mikhail-kukushkin,WC,1,64 76(7),2,0,13,10,1,0,2017-339-dh58-k926,/en/scores/2017/339/QS008/match-stats?isLive=False
2017-339,1st Round Qualifying,7,2,Ivan Dodig,d646,ivan-dodig,Ryan Harrison,h940,ryan-harrison,,2,64 46 64,2,1,16,14,0,0,2017-339-d646-h940,/en/scores/2017/339/QS010/match-stats?isLive=False
2017-339,1st Round Qualifying,7,3,Yoshihito Nishioka,n732,yoshihito-nishioka,Go Soeda,sc47,go-soeda,3,,64 06 62,2,1,12,12,0,0,2017-339-n732-sc47,/en/scores/2017/339/QS012/match-stats?isLive=False
2017-339,1st Round Qualifying,7,4,Jared Donaldson,dc58,jared-donaldson,Rajeev Ram,r548,rajeev-ram,4,,62 64,2,0,12,6,0,0,2017-339-dc58-r548,/en/scores/2017/339/QS014/match-stats?isLive=False
2017-339,1st Round Qualifying,7,5,Frances Tiafoe,td51,frances-tiafoe,Andrew Whittington,w630,andrew-whittington,5,,76(5) 63,2,0,13,9,1,0,2017-339-td51-w630,/en/scores/2017/339/QS009/match-stats?isLive=False
2017-339,1st Round Qualifying,7,6,Tim Smyczek,sf62,tim-smyczek,Bjorn Fratangelo,f811,bjorn-fratangelo,,6,46 62 63,2,1,16,11,0,0,2017-339-sf62-f811,/en/scores/2017/339/QS013/match-stats?isLive=False
2017-339,1st Round Qualifying,7,7,John-Patrick Smith,sj55,john-patrick-smith,Stefan Kozlov,ke64,stefan-kozlov,WC,7,62 63,2,0,12,5,0,0,2017-339-sj55-ke64,/en/scores/2017/339/QS015/match-stats?isLive=False
2017-339,1st Round Qualifying,7,8,Ernesto Escobedo,e873,ernesto-escobedo,Tobias Kamke,k839,tobias-kamke,,8,63 64,2,0,12,7,0,0,2017-339-e873-k839,/en/scores/2017/339/QS011/match-stats?isLive=False
2017-451,Finals,1,1,Novak Djokovic,d643,novak-djokovic,Andy Murray,mc10,andy-murray,2,1,63 57 64,2,1,17,14,0,0,2017-451-d643-mc10,/en/scores/2017/451/MS001/match-stats?isLive=False
2017-451,Semi-Finals,2,1,Andy Murray,mc10,andy-murray,Tomas Berdych,ba47,tomas-berdych,1,3,63 64,2,0,12,7,0,0,2017-451-mc10-ba47,/en/scores/2017/451/MS002/match-stats?isLive=False
2017-451,Semi-Finals,2,2,Novak Djokovic,d643,novak-djokovic,Fernando Verdasco,v306,fernando-verdasco,2,,46 76(7) 63,2,1,17,15,1,0,2017-451-d643-v306,/en/scores/2017/451/MS003/match-stats?isLive=False
2017-451,Quarter-Finals,3,1,Andy Murray,mc10,andy-murray,Nicolas Almagro,a479,nicolas-almagro,1,,76(4) 75,2,0,14,11,1,0,2017-451-mc10-a479,/en/scores/2017/451/MS004/match-stats?isLive=False
2017-451,Quarter-Finals,3,2,Novak Djokovic,d643,novak-djokovic,Radek Stepanek,s694,radek-stepanek,2,Q,63 63,2,0,12,6,0,0,2017-451-d643-s694,/en/scores/2017/451/MS007/match-stats?isLive=False
